label,data,lowercase,mapping_dict,remove_non_alphabet,no_whitespace,no_punctuation,standardized_word,stopwords,tokenized
fear,Ngaderegdeg keneh kanyahoan nyontek pas UAS,ngaderegdeg keneh kanyahoan nyontek pas uas,ngaderegdeg keneh kanyahoan nyontek pas uas,ngaderegdeg keneh kanyahoan nyontek pas uas,ngaderegdeg keneh kanyahoan nyontek pas uas,ngaderegdeg keneh kanyahoan nyontek pas uas,ngaderegdeg keneh kanyahoan nyontek pas uas,ngaderegdeg kanyahoan nyontek pas uas,"['ngaderegdeg', 'kanyahoan', 'nyontek', 'pas', 'uas']"
anger,Mun dordar jeung ban serep asa hayang ninggang babatok si abu janda ku martil,mun dordar jeung ban serep asa hayang ninggang babatok si abu janda ku martil,mun dordar jeung ban serep asa hayang nihenteung babatok si abu janda ku martil,mun dordar jeung ban serep asa hayang nihenteung babatok si abu janda ku martil,mun dordar jeung ban serep asa hayang nihenteung babatok si abu janda ku martil,mun dordar jeung ban serep asa hayang nihenteung babatok si abu janda ku martil,mun dordar jeung ban serep asa hayang nihenteung babatok si abu janda ku martil,dordar ban serep hayang nihenteung babatok abu janda martil,"['dordar', 'ban', 'serep', 'hayang', 'nihenteung', 'babatok', 'abu', 'janda', 'martil']"
fear,"Jir, sieun urang check-up rutin ka RS bulan ieu, geus loba nu positif, urang pesimis jeung RS na soal na... Teu modar gegara corona tapi modar gegara jantung kambuh,","jir, sieun urang check-up rutin ka rs bulan ieu, geus loba nu positif, urang pesimis jeung rs na soal na... teu modar gegara corona tapi modar gegara jantung kambuh,","jir, sieun urang check-up rutin ka rs bulan ieu, geus loba nu positif, urang pesimis jeung rs na soal na... teu modar gegara corona tapi modar gegara jantung kambuh,",jir  sieun urang check up rutin ka rs bulan ieu  geus loba nu positif  urang pesimis jeung rs na soal na    teu modar gegara corona tapi modar gegara jantung kambuh ,jir sieun urang check up rutin ka rs bulan ieu geus loba nu positif urang pesimis jeung rs na soal na teu modar gegara corona tapi modar gegara jantung kambuh ,jir sieun urang check up rutin ka rs bulan ieu geus loba nu positif urang pesimis jeung rs na soal na teu modar gegara corona tapi modar gegara jantung kambuh ,jir sieun urang check up rutin ka rs bulan ieu geus loba nu boga positif urang pesimis jeung rs na soal na teu maot/modar gegara corona tapi maot/modar gegara jantung kambuh,jir sieun urang check up rutin rs bulan loba boga positif urang pesimis rs soal teu maot/modar gegara corona maot/modar gegara jantung kambuh,"['jir', 'sieun', 'urang', 'check', 'up', 'rutin', 'rs', 'bulan', 'loba', 'boga', 'positif', 'urang', 'pesimis', 'rs', 'soal', 'teu', 'maot/modar', 'gegara', 'corona', 'maot/modar', 'gegara', 'jantung', 'kambuh']"
anger,"anjing,lamun di jatinangor sia ges ku aing buburak da.","anjing,lamun di jatinangor sia ges ku aing buburak da.","anjing,lamun di jatinangor sia ges ku aing buburak da.",anjing lamun di jatinangor sia ges ku aing buburak da ,anjing lamun di jatinangor sia ges ku aing buburak da ,anjing lamun di jatinangor sia ges ku aing buburak da ,anjing lamun di jatinangor sia ges ku aing buburak da,jatinangor ges buburak,"['jatinangor', 'ges', 'buburak']"
sadness,Ngan saukur tiasa nyaklakeun cai soca teu tiasa ningali langsung. Jadilah penerus agama dan bangsa jagoanku Ikmal,ngan saukur tiasa nyaklakeun cai soca teu tiasa ningali langsung. jadilah penerus agama dan bangsa jagoanku ikmal,ngan saukur tiasa nyaklakeun cai soca teu tiasa ningali langsung. jadilah penerus agama dan bangsa jagoanku ikmal,ngan saukur tiasa nyaklakeun cai soca teu tiasa ningali langsung  jadilah penerus agama dan bangsa jagoanku ikmal,ngan saukur tiasa nyaklakeun cai soca teu tiasa ningali langsung jadilah penerus agama dan bangsa jagoanku ikmal,ngan saukur tiasa nyaklakeun cai soca teu tiasa ningali langsung jadilah penerus agama dan bangsa jagoanku ikmal,ngan saukur tiasa nyaklakeun cai soca teu tiasa ningali langsung jadilah penerus ngagem agama lin dan bangsa jagoanku ikmal,saukur tiasa nyaklakeun cai soca teu tiasa ningali langsung jadilah penerus ngagem agama lin bangsa jagoanku ikmal,"['saukur', 'tiasa', 'nyaklakeun', 'cai', 'soca', 'teu', 'tiasa', 'ningali', 'langsung', 'jadilah', 'penerus', 'ngagem', 'agama', 'lin', 'bangsa', 'jagoanku', 'ikmal']"
fear,"punten, di cisaranten kulon pareum listrikna. Ulah lami nya plis. Keueung. nuju nurut anjuran pemerintah","punten, di cisaranten kulon pareum listrikna. ulah lami nya plis. keueung. nuju nurut anjuran pemerintah","punten, di cisaranten kulon pareum listrikna. ulah lami nya plis. keueung. nuju nurut anjuran pemerintah",punten  di cisaranten kulon pareum listrikna  ulah lami nya plis  keueung  nuju nurut anjuran pemerintah,punten di cisaranten kulon pareum listrikna ulah lami nya plis keueung nuju nurut anjuran pemerintah,punten di cisaranten kulon pareum listrikna ulah lami nya plis keueung nuju nurut anjuran pemerintah,punten di cisaranten kulon pareum listrikna ulah lami nya plis keueung nuju nurut anjuran pemerintah,punten cisaranten pareum listrikna ulah lami plis keueung nurut anjuran pemerintah,"['punten', 'cisaranten', 'pareum', 'listrikna', 'ulah', 'lami', 'plis', 'keueung', 'nurut', 'anjuran', 'pemerintah']"
anger,Naha iye budak gelo pisan bangsat. Goblog maneh.,naha iye budak gelo pisan bangsat. goblog maneh.,naha iye budak gelo pisan bangsat. goblog maneh.,naha iye budak gelo pisan bangsat  goblog maneh ,naha iye budak gelo pisan bangsat goblog maneh ,naha iye budak gelo pisan bangsat goblog maneh ,naha iye budak gelo pisan bangsat goblog maneh,iye budak gelo maneh,"['iye', 'budak', 'gelo', 'maneh']"
sadness,"Ripuh sakabehna, teu awak, teu pikiran, teu hate, teu aya nu beres da, nyeri. Hayang uwih hungkul ka imah nu d jabar, cicing diditu","ripuh sakabehna, teu awak, teu pikiran, teu hate, teu aya nu beres da, nyeri. hayang uwih hungkul ka imah nu d jabar, cicing diditu","ripuh sakabehna, teu awak, teu pikiran, teu hate, teu aya nu beres da, nyeri. hayang uwih hungkul ka imah nu d jabar, cicing diditu",ripuh sakabehna  teu awak  teu pikiran  teu hate  teu aya nu beres da  nyeri  hayang uwih hungkul ka imah nu d jabar  cicing diditu,ripuh sakabehna teu awak teu pikiran teu hate teu aya nu beres da nyeri hayang uwih hungkul ka imah nu d jabar cicing diditu,ripuh sakabehna teu awak teu pikiran teu hate teu aya nu beres da nyeri hayang uwih hungkul ka imah nu d jabar cicing diditu,ripuh sakabehna teu awak teu pikiran teu hate teu aya nu boga beres da nyeri hayang uwih hungkul ka imah nu boga d jabar cicing diditu,sakabehna teu awak teu pikiran teu hate teu aya boga beres hayang uwih hungkul imah boga d jabar cicing diditu,"['sakabehna', 'teu', 'awak', 'teu', 'pikiran', 'teu', 'hate', 'teu', 'aya', 'boga', 'beres', 'hayang', 'uwih', 'hungkul', 'imah', 'boga', 'd', 'jabar', 'cicing', 'diditu']"
fear,"asa jauh panineungan kieu ieu teh aya naun, dug asa melang, cengkat asa hariwang, hate ting korejat kieu","asa jauh panineungan kieu ieu teh aya naun, dug asa melang, cengkat asa hariwang, hate ting korejat kieu","asa jauh panineungan kieu ieu teh aya naun, dug asa melang, cengkat asa hariwang, hate ting korejat kieu",asa jauh panineungan kieu ieu teh aya naun  dug asa melang  cengkat asa hariwang  hate ting korejat kieu,asa jauh panineungan kieu ieu teh aya naun dug asa melang cengkat asa hariwang hate ting korejat kieu,asa jauh panineungan kieu ieu teh aya naun dug asa melang cengkat asa hariwang hate ting korejat kieu,asa jauh panineungan kieu ieu teh aya naun dug asa melang cengkat asa hariwang hate ting korejat kieu,jauh panineungan aya naun dug melang cengkat hariwang hate ting korejat,"['jauh', 'panineungan', 'aya', 'naun', 'dug', 'melang', 'cengkat', 'hariwang', 'hate', 'ting', 'korejat']"
anger,Beunget sia nu kudu dilokdon,beunget sia nu kudu dilokdon,beunget sia nu kudu dilokdon,beunget sia nu kudu dilokdon,beunget sia nu kudu dilokdon,beunget sia nu kudu dilokdon,beunget sia nu boga kudu dilokdon,beunget boga kudu dilokdon,"['beunget', 'boga', 'kudu', 'dilokdon']"
sadness,"Ya Allah meni waas, sararedih ningal video pagelaran sareng de file , perjuangan sareng kebersamaan pisan eta mah","ya allah meni waas, sararedih ningal video pagelaran sareng de file , perjuangan sareng kebersamaan pisan eta mah","ya kabehah meni was, sararedih ningal video pagelaran sareng de file , perjuangan sareng kebersamaa pisan eta mah",ya kabehah meni was  sararedih ningal video pagelaran sareng de file   perjuangan sareng kebersamaa pisan eta mah,ya kabehah meni was sararedih ningal video pagelaran sareng de file perjuangan sareng kebersamaa pisan eta mah,ya kabehah meni was sararedih ningal video pagelaran sareng de file perjuangan sareng kebersamaa pisan eta mah,ya kabehah meni was sararedih ningal video pagelaran sareng de file perjuangan sareng kebersamaa pisan eta mah,kabehah sararedih ningal video pagelaran de file perjuangan,"['kabehah', 'sararedih', 'ningal', 'video', 'pagelaran', 'de', 'file', 'perjuangan']"
anger,Ijid anjing neuleu benget jalu eta hahaha ! Eraa weh mereun nya panggih jeung aing teh =)) lalaki matre anjing !,ijid anjing neuleu benget jalu eta hahaha ! eraa weh mereun nya panggih jeung aing teh =)) lalaki matre anjing !,ijid anjing neuleu benget jalu eta hahaha ! eraa weh mereun nya papanggih jeung aing teh =)) lalaki matre anjing !,ijid anjing neuleu benget jalu eta hahaha   eraa weh mereun nya papanggih jeung aing teh     lalaki matre anjing  ,ijid anjing neuleu benget jalu eta hahaha eraa weh mereun nya papanggih jeung aing teh lalaki matre anjing ,ijid anjing neuleu benget jalu eta hahaha eraa weh mereun nya papanggih jeung aing teh lalaki matre anjing ,ijid anjing neuleu benget jalu eta hahaha eraa weh mereun nya papanggih jeung aing teh lalaki matre anjing,ijid neuleu benget jalu mereun papanggih lalaki matre,"['ijid', 'neuleu', 'benget', 'jalu', 'mereun', 'papanggih', 'lalaki', 'matre']"
fear,hadeuh hadeuh....naha janteun keder kieu ...,hadeuh hadeuh....naha janteun keder kieu ...,hadeuh hadeuh....naha janteun keder kieu ...,hadeuh hadeuh    naha janteun keder kieu    ,hadeuh hadeuh naha janteun keder kieu ,hadeuh hadeuh naha janteun keder kieu ,hadeuh hadeuh naha janteun keder kieu,janteun keder,"['janteun', 'keder']"
fear,"Sarieun kieu akhir taun teh, loba nu ngagerung","sarieun kieu akhir taun teh, loba nu ngagerung","sarieun kieu akhir taun teh, loba nu ngagerung",sarieun kieu akhir taun teh  loba nu ngagerung,sarieun kieu akhir taun teh loba nu ngagerung,sarieun kieu akhir taun teh loba nu ngagerung,sarieun kieu akhir taun teh loba nu boga ngagerung,sarieun akhir taun loba boga ngagerung,"['sarieun', 'akhir', 'taun', 'loba', 'boga', 'ngagerung']"
anger,Teu daek cicing pisan sia anying,teu daek cicing pisan sia anying,teu daek cicing pisan sia anjing,teu daek cicing pisan sia anjing,teu daek cicing pisan sia anjing,teu daek cicing pisan sia anjing,teu daek cicing pisan sia anjing,teu daek cicing,"['teu', 'daek', 'cicing']"
joy,Alhamdulillah sehat..... baca status na tambih sehat da seuri wae ngabarakatak hahaahah,alhamdulillah sehat..... baca status na tambih sehat da seuri wae ngabarakatak hahaahah,alhamdulilahh sehat..... baca status na tambih sehat da seuri wae ngabarakatak hahahah,alhamdulilahh sehat      baca status na tambih sehat da seuri wae ngabarakatak hahahah,alhamdulilahh sehat baca status na tambih sehat da seuri wae ngabarakatak hahahah,alhamdulilahh sehat baca status na tambih sehat da seuri wae ngabarakatak hahahah,alhamdulilahh sehat baca status na tambih sehat da seuri wae ngabarakatak hahahah,alhamdulilahh sehat baca status tambih sehat seuri ngabarakatak,"['alhamdulilahh', 'sehat', 'baca', 'status', 'tambih', 'sehat', 'seuri', 'ngabarakatak']"
joy,"Balik ti stadion langsung ""obor light dinner"" jeung kabogoh... nuhun gusti malam minggu","balik ti stadion langsung ""obor light dinner"" jeung kabogoh... nuhun gusti malam minggu","balik ti stadion langsung ""obor light balakecrakan"" jeung kabogoh... nuhun gusti malam minggu",balik ti stadion langsung  obor light balakecrakan  jeung kabogoh    nuhun gusti malam minggu,balik ti stadion langsung obor light balakecrakan jeung kabogoh nuhun gusti malam minggu,balik ti stadion langsung obor light balakecrakan jeung kabogoh nuhun gusti malam minggu,balik ti stadion langsung obor light balakecrakan jeung kabogoh hatur nuhun gusti malam minggu,balik stadion langsung obor light balakecrakan kabogoh hatur nuhun malam minggu,"['balik', 'stadion', 'langsung', 'obor', 'light', 'balakecrakan', 'kabogoh', 'hatur', 'nuhun', 'malam', 'minggu']"
joy,Alhamdulillah.. Hade pisan boga gubernur teh euy..,alhamdulillah.. hade pisan boga gubernur teh euy..,alhamdulilahh.. hade pisan boga gubernur teh euy..,alhamdulilahh   hade pisan boga gubernur teh euy  ,alhamdulilahh hade pisan boga gubernur teh euy ,alhamdulilahh hade pisan boga gubernur teh euy ,alhamdulilahh leuwih hade pisan boga gubernur teh euy,alhamdulilahh leuwih hade boga gubernur,"['alhamdulilahh', 'leuwih', 'hade', 'boga', 'gubernur']"
sadness,Padahal geus teu walakaya haben weh dihajar. Kumaha dek respect. Jol aya nu nyeletuk “Nya da polisi ge cape tapi nu demo na rusuh wae.” Resiko kehed da tigas na ngamankeun mengayomi lain memukuli. Mun embung narima resiko kitu tong jadi polisi jadi weh tukang ngaput.,padahal geus teu walakaya haben weh dihajar. kumaha dek respect. jol aya nu nyeletuk “nya da polisi ge cape tapi nu demo na rusuh wae.” resiko kehed da tigas na ngamankeun mengayomi lain memukuli. mun embung narima resiko kitu tong jadi polisi jadi weh tukang ngaput.,padahal geus teu walakaya haben weh dihajar. kumaha dek respect. jol aya nu nyeletuk “nya da polisi ge cape tapi nu demo na rusuh wae.” resiko kehed da tigas na ngamankeun mengayomi lain memukuli. mun embung narima resiko kitu tong jadi polisi jadi weh tukang ngaput.,padahal geus teu walakaya haben weh dihajar  kumaha dek respect  jol aya nu nyeletuk  nya da polisi ge cape tapi nu demo na rusuh wae   resiko kehed da tigas na ngamankeun mengayomi lain memukuli  mun embung narima resiko kitu tong jadi polisi jadi weh tukang ngaput ,padahal geus teu walakaya haben weh dihajar kumaha dek respect jol aya nu nyeletuk nya da polisi ge cape tapi nu demo na rusuh wae resiko kehed da tigas na ngamankeun mengayomi lain memukuli mun embung narima resiko kitu tong jadi polisi jadi weh tukang ngaput ,padahal geus teu walakaya haben weh dihajar kumaha dek respect jol aya nu nyeletuk nya da polisi ge cape tapi nu demo na rusuh wae resiko kehed da tigas na ngamankeun mengayomi lain memukuli mun embung narima resiko kitu tong jadi polisi jadi weh tukang ngaput ,padahal geus teu walakaya haben weh dihajar kumaha dek respect jol aya nu boga nyeletuk nya da polisi ge cape tapi nu boga demo na rusuh wae resiko kehed da tigas na ngamankeun mengayomi lain memukuli mun embung narima resiko kitu tong boro jadi polisi jadi weh tukang ngaput,teu walakaya haben dihajar respect jol aya boga nyeletuk polisi cape boga demo rusuh resiko tigas ngamankeun mengayomi memukuli embung narima resiko tong boro jadi polisi jadi tukang ngaput,"['teu', 'walakaya', 'haben', 'dihajar', 'respect', 'jol', 'aya', 'boga', 'nyeletuk', 'polisi', 'cape', 'boga', 'demo', 'rusuh', 'resiko', 'tigas', 'ngamankeun', 'mengayomi', 'memukuli', 'embung', 'narima', 'resiko', 'tong', 'boro', 'jadi', 'polisi', 'jadi', 'tukang', 'ngaput']"
fear,Main apa atuh huhu sarieun kieu aku kaget garut mau lockdown,main apa atuh huhu sarieun kieu aku kaget garut mau lockdown,main apa atuh huhu sarieun kieu aku kaget garut mau lockdown,main apa atuh huhu sarieun kieu aku kaget garut mau lockdown,main apa atuh huhu sarieun kieu aku kaget garut mau lockdown,main apa atuh huhu sarieun kieu aku kaget garut mau lockdown,main apa atuh huhu sarieun kieu aku kaget garut mau lockdown,main huhu sarieun kaget garut lockdown,"['main', 'huhu', 'sarieun', 'kaget', 'garut', 'lockdown']"
anger,Pedah naeun keuhel ka aing.. ari aing geus nyusahkeun naon ka sia..bisa2na maen magic..t zaman bro k aing mah moal mempan nu kitu mah,pedah naeun keuhel ka aing.. ari aing geus nyusahkeun naon ka sia..bisa2na maen magic..t zaman bro k aing mah moal mempan nu kitu mah,pedah naeun keuhel ka aing.. ari aing geus nyusahkeun naon ka sia..bisa2na maen magic..t zaman bro k aing mah moal mempan nu kitu mah,pedah naeun keuhel ka aing   ari aing geus nyusahkeun naon ka sia  bisa na maen magic  t zaman bro k aing mah moal mempan nu kitu mah,pedah naeun keuhel ka aing ari aing geus nyusahkeun naon ka sia bisa na maen magic t zaman bro k aing mah moal mempan nu kitu mah,pedah naeun keuhel ka aing ari aing geus nyusahkeun naon ka sia bisa na maen magic t zaman bro k aing mah moal mempan nu kitu mah,pedah naeun keuhel ka aing ari aing geus nyusahkeun naon ka sia bisa na maen magic t zaman bro k aing mah moal mempan nu boga kitu mah,pedah naeun keuhel nyusahkeun maen magic t zaman k moal mempan boga,"['pedah', 'naeun', 'keuhel', 'nyusahkeun', 'maen', 'magic', 't', 'zaman', 'k', 'moal', 'mempan', 'boga']"
sadness,Ka hate aing nage raheut har ieumah:(,ka hate aing nage raheut har ieumah:(,ka hate aing nage raheut har ieumah:(,ka hate aing nage raheut har ieumah  ,ka hate aing nage raheut har ieumah ,ka hate aing nage raheut har ieumah ,ka hate aing nage raheut har ieumah,hate nage raheut ieumah,"['hate', 'nage', 'raheut', 'ieumah']"
anger,"Heh maneh! nu bobogohan make duit kolot,tong sok balaga ngaledek jomblo nu keur berusaha sukses wa euy!","heh maneh! nu bobogohan make duit kolot,tong sok balaga ngaledek jomblo nu keur berusaha sukses wa euy!","heh maneh! nu bobogohan make duit kolot,tong sok balaga ngaledek jomblo nu keur berusaha sukses wa euy!",heh maneh  nu bobogohan make duit kolot tong sok balaga ngaledek jomblo nu keur berusaha sukses wa euy ,heh maneh nu bobogohan make duit kolot tong sok balaga ngaledek jomblo nu keur berusaha sukses wa euy ,heh maneh nu bobogohan make duit kolot tong sok balaga ngaledek jomblo nu keur berusaha sukses wa euy ,heh maneh nu boga bobogohan make duit kolot tong boro sok balaga ngaledek jomblo nu boga keur berusaha sukses wa euy,heh maneh boga bobogohan make duit kolot tong boro balaga ngaledek jomblo boga berusaha sukses wa,"['heh', 'maneh', 'boga', 'bobogohan', 'make', 'duit', 'kolot', 'tong', 'boro', 'balaga', 'ngaledek', 'jomblo', 'boga', 'berusaha', 'sukses', 'wa']"
sadness,"acara ke Lampungnya bisa kga si di undur,hadeuh mimin kga bisa ngikut asa hayang leweh ai kieu teh, Bingung.","acara ke lampungnya bisa kga si di undur,hadeuh mimin kga bisa ngikut asa hayang leweh ai kieu teh, bingung.","acara ke lampungnya bisa kga si di undur,hadeuh mimin kga bisa ngikut asa hayang leweh ai kieu teh, bingung.",acara ke lampungnya bisa kga si di undur hadeuh mimin kga bisa ngikut asa hayang leweh ai kieu teh  bingung ,acara ke lampungnya bisa kga si di undur hadeuh mimin kga bisa ngikut asa hayang leweh ai kieu teh bingung ,acara ke lampungnya bisa kga si di undur hadeuh mimin kga bisa ngikut asa hayang leweh ai kieu teh bingung ,acara ke lampungnya bisa kga si di undur hadeuh mimin kga bisa ngikut asa hayang leweh ai kieu teh bingung,acara lampungnya kga undur mimin kga ngikut hayang leweh ai bingung,"['acara', 'lampungnya', 'kga', 'undur', 'mimin', 'kga', 'ngikut', 'hayang', 'leweh', 'ai', 'bingung']"
fear,sararieun tea ngadenge sora sirine mobil damkar,sararieun tea ngadenge sora sirine mobil damkar,sararieun tea ngadenge sora sirine mobil damkar,sararieun tea ngadenge sora sirine mobil damkar,sararieun tea ngadenge sora sirine mobil damkar,sararieun tea ngadenge sora sirine mobil damkar,sararieun saha tea ngadenge sora sirine mobil damkar,sararieun tea ngadenge sora sirine mobil damkar,"['sararieun', 'tea', 'ngadenge', 'sora', 'sirine', 'mobil', 'damkar']"
sadness,"Setiap inget we, pasti clak cai panon. ayn mh gs bda wktu. Knyaahna gs bner2 lengit psan, gs eweh. Jdi prcuma ngarep kenh g moal balik deui.","setiap inget we, pasti clak cai panon. ayn mh gs bda wktu. knyaahna gs bner2 lengit psan, gs eweh. jdi prcuma ngarep kenh g moal balik deui.","setiap inget we, pasti clak cai panon. ayn mh gs bda wktu. knyahna gs bner2 lengit psan, gs eweh. jdi prcuma ngarep kenh g moal balik deui.",setiap inget we  pasti clak cai panon  ayn mh gs bda wktu  knyahna gs bner  lengit psan  gs eweh  jdi prcuma ngarep kenh g moal balik deui ,setiap inget we pasti clak cai panon ayn mh gs bda wktu knyahna gs bner lengit psan gs eweh jdi prcuma ngarep kenh g moal balik deui ,setiap inget we pasti clak cai panon ayn mh gs bda wktu knyahna gs bner lengit psan gs eweh jdi prcuma ngarep kenh g moal balik deui ,setiap inget we pasti clak cai panon ayn mh gs bda wktu knyahna gs bner lengit psan gs eweh jdi prcuma ngarep-ngarep kenh g moal balik deui,inget clak cai panon ayn mh gs bda wktu knyahna gs bner lengit psan gs eweh jdi prcuma ngarep-ngarep kenh g moal balik,"['inget', 'clak', 'cai', 'panon', 'ayn', 'mh', 'gs', 'bda', 'wktu', 'knyahna', 'gs', 'bner', 'lengit', 'psan', 'gs', 'eweh', 'jdi', 'prcuma', 'ngarep-ngarep', 'kenh', 'g', 'moal', 'balik']"
anger,"Tong so biyutiful lah jadi jelama mah!! Teu nyadar kitu beunget sia kos spiteng? goblog ih tidak menyadari eyapp sia mah tah raray!!""","tong so biyutiful lah jadi jelama mah!! teu nyadar kitu beunget sia kos spiteng? goblog ih tidak menyadari eyapp sia mah tah raray!!""","tong so biyutiful lah jadi jelama mah!! teu nyadar kitu beunget sia kos spiteng? goblog ih tidak menyadari iya sia mah tah raray!!""",tong so biyutiful lah jadi jelama mah   teu nyadar kitu beunget sia kos spiteng  goblog ih tidak menyadari iya sia mah tah raray   ,tong so biyutiful lah jadi jelama mah teu nyadar kitu beunget sia kos spiteng goblog ih tidak menyadari iya sia mah tah raray ,tong so biyutiful lah jadi jelama mah teu nyadar kitu beunget sia kos spiteng goblog ih tidak menyadari iya sia mah tah raray ,tong boro so biyutiful lah jadi jelama mah teu nyadar kitu beunget sia kos spiteng goblog ih tidak menyadari iya sia mah tah raray,tong boro so biyutiful jadi jelama teu nyadar beunget kos spiteng menyadari tah raray,"['tong', 'boro', 'so', 'biyutiful', 'jadi', 'jelama', 'teu', 'nyadar', 'beunget', 'kos', 'spiteng', 'menyadari', 'tah', 'raray']"
joy,Gara-gara si kevin aing jadi ngeunah seuri,gara-gara si kevin aing jadi ngeunah seuri,gara-gara si kevin aing jadi ngeunah seuri,gara gara si kevin aing jadi ngeunah seuri,gara gara si kevin aing jadi ngeunah seuri,gara gara si kevin aing jadi ngeunah seuri,gara gara si kevin aing jadi ngeunah seuri,gara gara kevin jadi ngeunah seuri,"['gara', 'gara', 'kevin', 'jadi', 'ngeunah', 'seuri']"
anger,Goblog sia anjing abu janda setan.. Modar sia goblog,goblog sia anjing abu janda setan.. modar sia goblog,goblog sia anjing abu janda setan.. modar sia goblog,goblog sia anjing abu janda setan   modar sia goblog,goblog sia anjing abu janda setan modar sia goblog,goblog sia anjing abu janda setan modar sia goblog,goblog sia anjing abu janda setan maot/modar sia goblog,abu janda maot/modar,"['abu', 'janda', 'maot/modar']"
joy,"bahasana sama a sadayana. Saya kakarak apal , saya ngabarakatak saat saya nyawang lawakan nya, hahahaha mantap mang lawakan nya salam","bahasana sama a sadayana. saya kakarak apal , saya ngabarakatak saat saya nyawang lawakan nya, hahahaha mantap mang lawakan nya salam","bahasana sama a sadayana. saya kakarak apal , saya ngabarakatak saat saya nyawang lawakan nya, hahahaha mantap mang lawakan nya salam",bahasana sama a sadayana  saya kakarak apal   saya ngabarakatak saat saya nyawang lawakan nya  hahahaha mantap mang lawakan nya salam,bahasana sama a sadayana saya kakarak apal saya ngabarakatak saat saya nyawang lawakan nya hahahaha mantap mang lawakan nya salam,bahasana sama a sadayana saya kakarak apal saya ngabarakatak saat saya nyawang lawakan nya hahahaha mantap mang lawakan nya salam,bahasana sama a sadayana saya kakarak apal saya ngabarakatak saat saya nyawang lawakan nya hahahaha mantap mang lawakan nya salam,bahasana a sadayana kakarak ngabarakatak nyawang lawakan hahahaha mang lawakan salam,"['bahasana', 'a', 'sadayana', 'kakarak', 'ngabarakatak', 'nyawang', 'lawakan', 'hahahaha', 'mang', 'lawakan', 'salam']"
sadness,"Jumerit maratan langit,ngoceak maratan jagat,,,ngagurujud kna manah ,kabayang da sumpah...nyebret !!!","jumerit maratan langit,ngoceak maratan jagat,,,ngagurujud kna manah ,kabayang da sumpah...nyebret !!!","jumerit maratan langit,ngoceak maratan jagat,,,ngagurujud kna manah ,kabayang da sumpah...nyebret !!!",jumerit maratan langit ngoceak maratan jagat   ngagurujud kna manah  kabayang da sumpah   nyebret    ,jumerit maratan langit ngoceak maratan jagat ngagurujud kna manah kabayang da sumpah nyebret ,jumerit maratan langit ngoceak maratan jagat ngagurujud kna manah kabayang da sumpah nyebret ,jumerit maratan langit ngoceak maratan jagat ngagurujud kna manah kabayang da sumpah nyebret,jumerit maratan langit ngoceak maratan jagat ngagurujud kna manah kabayang nyebret,"['jumerit', 'maratan', 'langit', 'ngoceak', 'maratan', 'jagat', 'ngagurujud', 'kna', 'manah', 'kabayang', 'nyebret']"
anger,Bacottt siaaa..tibang tv butut burem ge meni agull.,bacottt siaaa..tibang tv butut burem ge meni agull.,backaluart sia..tibang tv butut burem ge meni agul.,backaluart sia  tibang tv butut burem ge meni agul ,backaluart sia tibang tv butut burem ge meni agul ,backaluart sia tibang tv butut burem ge meni agul ,backaluart sia tibang tv butut burem ge meni agul,backaluart tibang tv butut burem,"['backaluart', 'tibang', 'tv', 'butut', 'burem']"
fear,Najan duit di berean wae ge tapi mun rek barang beli teu ijin hela ka salaki teh teu wani urang mah,najan duit di berean wae ge tapi mun rek barang beli teu ijin hela ka salaki teh teu wani urang mah,najan duit di berean wae ge tapi mun rek barang beli teu ijin hela ka salaki teh teu wani urang mah,najan duit di berean wae ge tapi mun rek barang beli teu ijin hela ka salaki teh teu wani urang mah,najan duit di berean wae ge tapi mun rek barang beli teu ijin hela ka salaki teh teu wani urang mah,najan duit di berean wae ge tapi mun rek barang beli teu ijin hela ka salaki teh teu wani urang mah,najan duit di berean wae ge tapi mun rek barang beli teu ijin hela ka salaki teh teu wani urang mah,najan duit berean barang beli teu ijin hela salaki teu wani urang,"['najan', 'duit', 'berean', 'barang', 'beli', 'teu', 'ijin', 'hela', 'salaki', 'teu', 'wani', 'urang']"
sadness,Kamu lagi apa? Akumah lagi nalangsa da,kamu lagi apa? akumah lagi nalangsa da,kamu lagi apa? akumah lagi nalangsa da,kamu lagi apa  akumah lagi nalangsa da,kamu lagi apa akumah lagi nalangsa da,kamu lagi apa akumah lagi nalangsa da,kamu lagi apa akumah lagi nalangsa da,akumah nalangsa,"['akumah', 'nalangsa']"
joy,Alhamdulillah y Allah ninggali kolot bingah mah ngiring bingah,alhamdulillah y allah ninggali kolot bingah mah ngiring bingah,alhamdulilahh y kabehah nihenteulkeuni kolot bingah mah ngiring bingah,alhamdulilahh y kabehah nihenteulkeuni kolot bingah mah ngiring bingah,alhamdulilahh y kabehah nihenteulkeuni kolot bingah mah ngiring bingah,alhamdulilahh y kabehah nihenteulkeuni kolot bingah mah ngiring bingah,alhamdulilahh y kabehah nihenteulkeuni kolot bingah mah ngiring bingah,alhamdulilahh y kabehah nihenteulkeuni kolot bingah ngiring bingah,"['alhamdulilahh', 'y', 'kabehah', 'nihenteulkeuni', 'kolot', 'bingah', 'ngiring', 'bingah']"
